Ticker,Name
KAYCEEI,KAYCEE INDUSTRIES LTD.
INDOKEM,INDOKEM LTD.
PANAENERG,PANASONIC ENERGY INDIA COMPANY LTD.-$
NELCO,NELCO LTD.
PERMAGN,PERMANENT MAGNETS LTD.-$
HIGHENE,HIGH ENERGY BATTERIES (INDIA) LTD.
STDBAT,STANDARD BATTERIES LTD.
UNIVCABLES,UNIVERSAL CABLES LTD.
WSIND,W.S.INDUSTRIES (INDIA) LTD.-$
DLTNCBL,DELTON CABLES LTD.
DELTRON,DELTRON LTD.
LAKSELEC,LAKSHMI ELECTRICAL CONTROL SYSTEMS LTD.
KHAITANELE,KHAITAN ELECTRICALS LTD.
TUMUSEL,TUMUS ELECTRIC CORPORATION LTD.
DELTAMAGNT,DELTA MAGNETS LTD.
CONFINT,Confidence Finance And Trading Limited
RAVINDT,RAVINDRA TRADING &amp; AGENCIES LTD.
GDTRAGN,G.D.TRADING &amp; AGENCIES LTD.
EMPOWER,EMPOWER INDIA LTD.
ZMULTIPU,MULTIPURPOSE TRADING &amp; AGENCIES LTD.
REMISIN,REMI SALES &amp; ENGINEERING LTD.
RIDHISYN,RIDHI SYNTHETICS LTD.
GRANDMA,GRANDMA TRADING &amp; AGENCIES LTD.
ZARDIINV,ARDI INVESTMENT &amp; TRADING LTD.
SOFTBPO,SOFTBPO GLOBAL SERVICES LTD.
NYSSACORP,Nyssa Corporation Limited
ZVINADTR,VINADITYA TRADING CO.LTD.
AVTIL,AVTIL Enterprise Ltd
KRISHNA,Krishna Ventures Limited
GANHOLD,GANESH HOLDINGS LTD.
SJCORP,SJ CORPORATION LTD.
UNIABEXAL,UNI ABEX ALLOY PRODUCTS LTD.
SARDAEN,SARDA ENERGY &amp; MINERALS LTD.-$
ANILSPL,ANIL SPECIAL STEEL INDUSTRIES LTD.-$
BWLLTD,BWL LTD.
BGWTATO,BHAGWATI AUTOCAST LTD.
BOMBWIR,BOMBAY WIRE ROPES LTD.
CHASBRT,CHASE BRIGHT STEEL LTD.
UNIVPRIM,UNIVERSAL PRIME ALUMINIUM LTD.
GALADA,GALADA POWER &amp; TELECOMMUNICATION LTD.
GONTER,GONTERMANN-PEIPERS (INDIA) LTD.
HINDWRS,HINDUSTAN WIRES LTD.
IBRIGST,INDIAN BRIGHT STEEL CO.LTD.
INDIANHUME,INDIAN HUME PIPE CO.LTD.
INLCM,INDIAN LINK CHAIN MANUFACTURES LTD.
INVPRECQ,INVESTMENT &amp; PRECISION CASTINGS LTD.
INFORTEC,INFORMED TECHNOLOGIES INDIA LTD.
KAIRA,KAIRA CAN CO.LTD.
ORIENTABRA,ORIENT ABRASIVES LTD.-$
RATHIST,RATHI STEEL &amp; POWER LTD.-$
SSDUNC,SCHRADER DUNCAN LTD.-$
SANDUMA,SANDUR MANGANESE &amp; IRON ORES LTD.
STOVACQ,STOVEC INDUSTRIES LTD.
STEWARTQ,STEWARTS &amp; LLOYDS OF INDIA LTD.-$
TATAYODOGA,TAYO ROLLS LTD.-$
TINPLATE,TINPLATE COMPANY OF INDIA LTD.
TUBEINVEST,TUBE INVESTMENTS OF INDIA LTD.
ZWELCAST,WELCAST STEELS LTD.
WMINIMT,WESTERN MINISTIL LTD.
AUTOAXLES,AUTOMOTIVE AXLES LTD.
ATLASCYCLE,ATLAS CYCLES (HARYANA) LTD.
ACGL,AUTOMOBILE CORPORATION OF GOA LTD.-$
SETCO,SETCO AUTOMOTIVE LTD.
SCOOTER,SCOOTERS INDIA LTD.
TALBROAUTO,TALBROS AUTOMOTIVE COMPONENTS LTD.
ZFSTEERING,Z.F.STEERING GEAR (INDIA) LTD.-$
SMLISUZU,SML ISUZU LIMITED
TIL,TIL LTD.
EICHERMOT,EICHER MOTORS LTD.
JAINEX,JAINEX AAMCOL LTD.
ALFREDHE,ALFRED HERBERT (INDIA) LTD.
CIMMCO,CIMMCO LTD.
VELJAN,Veljan Denison Limited
DYNAMATECH,DYNAMATIC TECHNOLOGIES LTD.-$
GGDANDE,G.G.DANDEKAR MACHINE WORKS LTD.
GMM,GMM PFAUDLER LTD.
KIRLPNU,KIRLOSKAR PNEUMATIC CO.LTD.
TULIVE,Tulive Developers Limited
KULKPOWT,KULKARNI POWER &amp; TOOLS LTD.
LXMIATO,LAKSHMI AUTOMATIC LOOM WORKS LTD.
LYNMC,LYNX MACHINERY &amp; COMMERCIALS LTD.
MANUGRAPH,MANUGRAPH INDIA LTD.-$
MIRCH,Mirch Technologies (India) Ltd
MONOT,MONOTYPE INDIA LTD.
NESCO,NESCO LTD.
INTEGRAEN,INTEGRA ENGINEERING INDIA LTD.
REVATHI,REVATHI EQUIPMENT LTD.-$
TEXINFRA,TEXMACO INFRASTRUCTURE &amp; HOLDINGS LTD.
WENDT,WENDT (INDIA) LTD.
PSITINFRA,PS IT Infrastructure &amp; Services Limited
SINDUVA,SINDU VALLEY TECHNOLOGIES LTD.
AXONVL,Axon Ventures Ltd
RESPONIND,RESPONSIVE INDUSTRIES LTD.
SHYMINV,SHYAMKAMAL INVESTMENTS LTD.
ZHEMHOLD,HEM HOLDINGS &amp; TRADING LTD.
MAHACORP,MAHARASHTRA CORPORATION LTD.
DOLAT,DOLAT INVESTMENTS LTD.
SHYAMHO,SHYAMAL HOLDINGS &amp; TRADING LTD.
PRISMINFO,PRISM INFORMATICS LTD.
WESTLIFE,WESTLIFE DEVELOPMENT LTD.
ZEEL,ZEE ENTERTAINMENT ENTERPRISES LTD.
IMCFINA,IMC FINANCE LTD.
GOLDCORP,Goldcrest Corporation Limited
